IATA,ICAO,Name,Country,Active
,LLA,Servico Leo Lopex,Mexico,N
,LLS,Servicios Aereos Estrella,Mexico,N
,LMG,South African Air Force,South Africa,N
,LMO,Sky Limo Corporation,United States,N
,LRS,SANSA,Costa Rica,N
,LSP,Spectrum Aviation Incorporated,United Kingdom,N
,MCG,SOS Helikoptern Gotland,Sweden,N
,MDT,Sundt Air,Norway,N
,MLO,Servicios Aereos Milenio,Mexico,N
,MMS,SAAD (A320) Limited,Cayman Islands,N
,MRI,Servicios Aereos Moritani,Mexico,N
2G,MRR,San Juan Airlines,United States,N
,MSG,Servico Aereo Regional,Mozambique,N
,MSP,Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,Costa Rica,N
,MTG,Servicios Aereos MTT,Mexico,N
1Z,,Sabre Pacific,Australia,N
1S,,Sabre,United States,N
1I,,Sierra Nevada Airlines,United States,N
1H,,Siren-Travel,Russia,N
1Q,,Sirena,Russia,N
1I,,Sky Trek International Airlines,,N
1K,,Southern Cross Distribution,Australia,N
1K,,Sutra,United States,N
2C,,SNCF,France,N
2S,,Star Equatorial Airlines,Guinea,N
,NAD,Seulawah Nad Air,Indonesia,N
,NAZ,Servicios Aereos del Nazas SA de CV,Mexico,N
,NCS,Simpson Air Ltd,Canada,N
NK,NKS,Spirit Airlines,United States,Y
,NON,Servicios Aereos Latinoamericanos,Mexico,N
,NRZ,Servicios Aereos Monarrez,Mexico,N
,NSC,Societe De Transport Aerien De Mauritanie,Mauritania,N
9R,NSE,SATENA,Colombia,Y
,NTB,Servicios Aereos Del Norte,Mexico,N
,NTG,Servicios Intergrales De Aviacion,Mexico,N
S0,OKS,Slok Air Gambia,Gambia,N
,OKT,Soko Aviation,Spain,N
,OLC,Solar Cargo,Venezuela,N
,OLO,Soloflight,United Kingdom,N
,ONG,Sonnig SA,Switzerland,N
SO,OSL,Sosoliso Airlines,Nigeria,N
,OSS,Servicios Aereos Noticiosos,Mexico,N
,OTL,South Airlines,Ukraine,N
,OZW,Skywest Airlines,Australia,Y
,PIV,Sokol,Russia,N
,PLT,South Carolina Aeronautics Commission,United States,N
,PMR,Servicios Aereos Premier,Mexico,N
,PNS,Survey Udara (Penas),Indonesia,N
,POB,Servicios Aereos Poblanos,Mexico,N
,PSV,Servicios Aereos Profesionales,Dominican Republic,N
,PTM,Southeastern Airways,United States,N
,PUR,Spurwing Airlines,South Africa,N
1I,PZR,Sky Trek International Airlines,United States,N
,RBW,Shandong Airlines Rainbow Jet,China,N
,REJ,SA Airlink Regional,South Africa,N
,RER,Servicio Aereo Regional Regair,Ecuador,N
,RFT,Scoala Superioara De Aviatie Civila,Romania,N
,RGC,Servicios Aereos Regiomontanos,Mexico,N
,RLS,S-Air,Russia,N
,RMP,Servicios De Rampa Y Mostrador,Mexico,N
,RSE,SNAS Aviation,Saudi Arabia,N
SX,SKB,Skybus Airlines,United States,N
,SKC,Skymaster Air Lines,United States,N
,SKD,Sky Harbor Air Service,United States,N
,SKE,Sky Tours,United States,N
,AZG,Sakaviaservice,Georgia,N
,SKF,Skycraft,United States,N
,SKG,Skycraft Air Transport,Canada,N
,SKI,Skyking,United Kingdom,N
RU,SKI,SkyKing Turks and Caicos Airways,Turks and Caicos Islands,N
,SKK,Skylink Aviation,Canada,N
,SKL,Skycharter (Malton),Canada,N
,SKN,Skyline Aviation Services,United States,N
,SKO,Scottish Airways Flyers,United Kingdom,N
,SKR,Skyscapes Air Charters,South Africa,N
,SKS,Sky Service,Belgium,N
S3,BBR,Santa Barbara Airlines,Venezuela,Y
,SKT,Skystar Airways,Thailand,N
H2,SKU,Sky Airline,Chile,Y
OO,SKW,SkyWest,United States,Y
JZ,SKX,Skyways Express,Sweden,Y
BC,SKY,Skymark Airlines,Japan,Y
,SKZ,Skyway Enterprises,United States,N
LJ,SLA,Sierra National Airlines,Sierra Leone,N
,SLB,Slok Air,Nigeria,N
,SLD,Silver Air,Czech Republic,N
,SLE,Streamline,South Africa,N
,SLF,Starfly,Italy,N
,SLG,Saskatchewan Government,Canada,N
,SLH,Silverhawk Aviation,United States,N
,AGE,Servicios Aereos de Los Angeles,Mexico,N
MI,SLK,SilkAir,Singapore,Y
6Q,SLL,Slovak Airlines,Slovakia,N
PY,SLM,Surinam Airways,Suriname,Y
,SLN,Sloane Aviation,United Kingdom,N
,SLP,Salpa Aviation,Sudan,N
,SLS,Servicios Aereos Slainte,Mexico,N
,SLV,Stella Aviation,Mauritania,N
,SLW,Salama Airlines Nigeria,Nigeria,N
,SLX,Sete Linhas Aereas,Brazil,N
,SLY,Sky Line for Air Services,Sudan,N
,SLZ,Super Luza,Angola,N
,SMA,SMA Airlines,Nigeria,N
,SMC,Sabang Merauke Raya Air Charter,Indonesia,N
,SMD,Servicios Aereos La Marquesa,Mexico,N
8D,,Servant Air,United States,N
,SME,Semos,Kazakhstan,N
,SMF,Smalandsflyg,Sweden,N
,SMH,Smithair,United States,N
,SMK,Semeyavia,Kazakhstan,N
,SML,Smith Air (1976),Canada,N
,SMM,Summit Airlines,United States,N
,SMQ,Samar Air,Tajikistan,N
,SMR,Somon Air,Tajikistan,N
,SMT,Skyline,Nigeria,N
,AOS,Servicios Aerecs Del Sol,AEROSOL,N
,SNA,Senator Aviation Charter,Germany,N
NB,SNB,Sterling Airlines,Denmark,Y
,SNE,Servicios Aereos De Nicaragua (SANSA),Nicaragua,N
,SNF,Shans Air,Russia,N
,SNH,Senair Services,Senegal,N
,SNI,Savanah Airlines,Nigeria,N
6J,SNJ,Skynet Asia Airways,Japan,Y
,SNK,Southeast Airlines (Sun Jet International),United States,N
,SNL,Soonair Lines,United States,N
,SNM,Servizi Aerei,Italy,N
,SNP,Sun Pacific International,United States,N
,SNQ,Sun Quest Executive Air Charter,United States,N
,SNS,Societe Centrafricaine De Transport Aerien,Central African Republic,N
,SNT,Suncoast Aviation,United States,N
,SNU,Snunit Aviation,Israel,N
,SNV,Sudanese States Aviation,Sudan,N
,SNW,Sun West Airlines,United States,N
,SNX,Sun Air Aviation Services,Canada,N
,SOB,Stabo Freight,Zambia,N
,SOC,Southern Cargo Air Lines,Russia,N
,SOH,Southern Ohio Aviation Sales,United States,N
,SOI,Southern Aviation,Zambia,N
IE,SOL,Solomon Airlines,Solomon Islands,Y
,SOM,Somali Airlines,Somali Republic,N
,SON,Sunshine Air Tours,United States,N
,SOO,Southern Air,United States,N
,SOP,Solinair,Slovenia,N
,SOR,Sonair Servico Aereo,Angola,N
,SOT,Southeast Correct Craft,United States,N
,SOU,Southern Airways,United States,Y
6W,SOV,Saratov Aviation Division,Russia,Y
,SOW,Sowind Air,Canada,N
,SOX,Solid Air,Netherland,N
HZ,SOZ,Sat Airlines,Kazakhstan,Y
,SPA,Sierra Pacific Airlines,United States,N
,SPB,Springbok Classic Air,South Africa,N
,SPC,Skyworld Airlines,United States,N
,SPE,Sprague Electric Company,United States,N
,SPF,Space World Airline,Nigeria,N
,SPG,Springdale Air Service,United States,N
,SPH,Sapphire Executive Air,South Africa,N
,SPI,South Pacific Island Airways,United States,Y
,SPL,Servicios Corporativos Aereos De La Laguna,Mexico,N
,SPN,Skorpion Air,Bulgaria,N
,SPP,Sapphire Aviation,United States,N
,SPQ,Servicios Aereos Palenque,Mexico,N
,TBS,Servicios Aereos Tribasa,Mexico,N
S5,TCF,Shuttle America,United States,Y
,TGT,SAAB Nyge Aero,Sweden,N
,THB,Spark Air,Thailand,N
,TIH,S C Ion Tiriac,Romania,N
,TRL,Starlite Aviation,South Africa,N
,TRN,Servicios Aereos Corporativos,Mauritania,N
,TTM,Societe Tout Tranport Mauritanien,Mauritania,N
,TZU,Servicios Aereos Tamazula,Mexico,N
,UGP,Shar Ink,Russia,N
,UKU,Second Sverdlovsk Air Enterprise,Russia,N
,UNT,Servicios Aereos Universitarios,Mexico,N
,USK,Skif-Air,Ukraine,N
,USN,Smarkand Aero Servise,Uzbekistan,N
,UZS,Samarkand Airways,Uzbekistan,N
,VDO,Servicios Aereos Avandaro,Mexico,N
,VGS,Stichting Vliegschool 16Hoven,Netherlands,N
,VRB,Silverback Cargo Freighters,Rwanda,N
,VRS,Sirvair,Mexico,N
DV,VSV,Scat Air,Kazakhstan,Y
,VXN,Sunset Aviation,United States,N
,WCC,Sport Air Travel,United States,N
,WFC,Swift Copters,Switzerland,N
,WLK,Skyrover CC,South Africa,N
,XLK,Safarilink Aviation,Kenya,N
,XMX,SENEAM,Mexico,N
,XPG,Southport Air Service,United States,N
,XSA,Spectrum Air Service,United States,N
,XSN,Stephenville Aviation Services,Canada,N
,XTA,Servicios Aereos Textra,Mexico,N
,XTR,Sector Airlines,Canada,N
,XXS,Skyplan Services,Canada,N
,YBE,Stewart Aviation Services,United States,N
R1,,Sirin,,N
S6,,Star Air,Denmark,N
,FYA,Servicios Aereos Integrales / Flyant,Spain,N
,UFA,State Flight Academy of Ukraine,Ukraine,N
,SWL,Trans Jet Airways,Sweden,N
,TAC,Turbot Air Cargo,Senegal,N
,TAD,Tranporte Aereo Dominicano,Dominican Republic,N
EQ,TAE,TAME,Ecuador,Y
,BAP,Trans International Express Aviation,United States,N
,TAG,TAG Aviation USA,United States,N
,TAL,Talair,Papua New Guinea,N
JJ,TAM,TAM Brazilian Airlines,Brazil,Y
,AUC,Transaustralian Air Express,Australia,N
TP,TAP,TAP Portugal,Portugal,Y
TU,TAR,Tunisair,Tunisia,Y
,TAU,Transportes Aereos Tauro,Mexico,N
,TAX,Travelair,Germany,N
3V,TAY,TNT Airways,Belgium,N
,TBA,Transbrasil,Brazil,N
,TBC,Turbine Air Cargo UK,United Kingdom,N
,TBD,Thunderbird Tours,Canada,N
M7,TBG,Tropical Airways,Haiti,N
,TBH,Trinity Air Bahamas,Bahamas,N
,TBI,TAB Express International,United States,N
,TBM,Taban Air Lines,Iran,N
,TBN,Teebah Airlines,Sierra Leone,N
,TBR,Tubelair,Tunisia,N
,TBX,Tobago Express,Trinidad and Tobago,N
,TCA,Tropican Air Services,Egypt,N
,TCB,Transporte del Caribe,Colombia,N
,TCC,Trans Continental Airlines,Sudan,N
,TCD,Tchad Airlines,Chad,N
,TCE,Trans-Colorado Airlines,United States,N
T2,TCG,Thai Air Cargo,Thailand,Y
,TCH,Transcontinental Air,Bahrain,N
,TCM,Teledyne Continental Motors,United States,N
,TCN,Trans Continental Airlines,United States,N
,TCP,Transcorp Airways,United Kingdom,N
,TCT,Transcontinental Sur,Uruguay,N
,TCU,Transglobal Airways Corporation,Philippines,N
FQ,TCW,Thomas Cook Airlines,Belgium,Y
MT,TCX,Thomas Cook Airlines,United Kingdom,Y
,TCY,Twin Cities Air Service,United States,N
,TDC,Tadair,Spain,N
,TDE,Tellavia / Flight One,United States,N
,TDI,Transportes Aereos de Ixtlan,Mexico,N
TQ,TDM,Tandem Aero,Moldova,N
,TDO,TRADO,Dominican Republic,N
,TDR,Trade Air,Croatia,N
,TDV,Taxi Aero Nacional Del Evora,Mexico,N
,TDX,Tradewinds Airlines,United States,N
,TEB,Tenir Airlines,Kyrgyzstan,N
L9,TLW,Teamline Air,Austria,N
,TEF,Tecnicas Fotograficas,Spain,N
,TEH,Tempelhof Airways,United States,N
,TEL,Telford Aviation,United States,N
,TEM,Tech-Mont Helicopter Company,Slovakia,N
,TEN,Tennessee Airways,United States,N
,TER,Territorial Airlines,United States,N
,TES,TAES Transportes Aereos de El Salvador,El Salvador,N
UE,TEP,Transeuropean Airlines,Russia,N
,TET,Tepavia-Trans Airlines,Moldova,N
,TFA,Trans-Florida Airlines,United States,N
,TFB,Tair Airways,Philippines,N
,TFF,Talon Air,United States,N
,AIM,Trabajos Aereos Murcianos,Spain,N
,TFH,Thai Flying Helicopter Service,Thailand,N
,TFI,Transport Facilitators,United States,N
,TFK,Transafrik International,Sao Tome and Principe,N
,TFO,Transportes Aereos del Pacifico,Mexico,N
,TFT,Thai Flying Service,Thailand,N
,SRF,Transportes Aereos San Rafael,Chile,N
,TFY,Tayside Aviation,United Kingdom,N
,TGC,TG Aviation,United Kingdom,N
,TGE,Trabajos Aereos,Spain,N
,TGI,Transportes Aereos Regionales,Mexico,N
,TGM,TAG Aviation Espana,Spain,N
,TGN,Trigana Air Service,Indonesia,Y
ZT,AWC,Titan Airways,United Kingdom,N
,TGO,Transport Canada,Canada,N
TR,TGW,Tiger Airways,Singapore,Y
TT,TGW,Tiger Airways Australia,Australia,Y
,TGX,Transair Gabon],Gabon,N
,TGY,Trans Guyana Airways,Guyana,N
TG,THA,Thai Airways International,Thailand,Y
,THC,Tar Heel Aviation,United States,N
,THE,Toumai Air Tchad,Chad,N
,THF,Touraine Helicoptere,France,N
,THG,Thai Global Airline,Thailand,N
,THJ,Thai Jet Intergroup,Thailand,N
,THK,Turk Hava Kurumu Hava Taksi Isletmesi,Turkey,Y
FD,AIQ,Thai AirAsia,Thailand,Y
,THO,TACA De Honduras,Honduras,N
,THR,Tehran Airline,Iran,N
,THU,Thunder Airlines,Canada,N
TK,THY,Turkish Airlines,Turkey,Y
,THZ,Trans Helicoptere Service,France,N
,TIA,Trans International Airlines,United States,N
,TIC,Travel International Air Charters,Zambia,N
,TIE,Time Air,Czech Republic,N
,TIK,Tic Air,Australia,N
,TIL,Tajikistan International Airlines,Tajikistan,Y
,TIM,TEAM Transportes Aereos,Brazil,N
,TIN,Taino Tours,Dominican Republic,N
,TIS,Tesis,Russia,N
,TIW,Transcarga Intl Airways,Venezuela,N
,TJK,Tajikair,Tajikistan,N
,TJN,Tien-Shan,Kazakhstan,N
,TJS,Tyrolean Jet Service,Austria,N
T7,TJT,Twin Jet,France,Y
,TKC,Tikal Jets Airlines,Guatemala,N
,TKE,Take Air Line,France,N
,TKX,Tropical International Airways,Saint Kitts and Nevis,N
9I,TKY,Thai Sky Airlines,Thailand,N
,TLA,Translift Airways,Ireland,Y
,TLF,Transport Africa,Sierra Leone,N
,TLL,Trans Atlantic Airlines,Sierra Leone,N
,TLO,Eagle Canyon Airlines,United States,N
TD,TLP,Tulip Air,Netherland,N
,TAJ,Tunisavia,Tunisia,N
,TLS,TLC Air,United States,N
,TLT,Turtle Airways,Fiji,N
,TLV,Travelair,Uruguay,N
,TLX,Telesis Transair,United States,N
,TLY,Top-Fly,Spain,N
TL,TMA,Trans Mediterranean Airlines,Lebanon,Y
,TMD,Transmed Airlines,Egypt,N
GY,TMG,Tri-MG Intra Asia Airlines,Indonesia,N
,TMH,Taxis Turisticos Marakame,Mexico,N
,TMI,Tamir Airways,Israel,N
,TMK,Tomahawk Airways,United States,N
,TML,TAM,Madagascar,N
,TMM,TMC Airlines,United States,N
,TMQ,TRAM,Mauritania,N
,TMR,Timberline Air,Canada,N
,TMS,Temsco Helicopters,United States,N
,TMT,Trans Midwest Airlines,United States,N
,TMX,Tramon Air,South Africa,N
,TMY,Transportes Aereos del Mundo Maya,Mexico,N
,TMZ,Tranporte Amazonair,Venezuela,N
,TNB,Trans Air-Benin,Benin,N
,TNE,Taxis Aereos del Noroeste,Mexico,N
,TNF,Transafricaine,Burkina Faso,N
,TNG,Tennessee Air National Guard 164th Airlift Group,United States,N
,TNI,Transair International Linhas Aereas,United States,N
,TNL,Tengeriyn Ulaach Shine,Mongolia,N
3P,TNM,Tiara Air,Aruba,Y
,TNP,Transped Aviation,Austria,N
,TNR,Tanana Air Services,United States,N
,TNT,Trans North Turbo Air,Canada,N
,TNV,Transnorthern,United States,N
,TNW,Trans Nation Airways,Ethiopia,N
,TNX,Trener Ltd,Hungary,N
,TNY,Twin Town Leasing Company,United States,N
7T,TOB,Tobruk Air,Libya,N
,TOJ,TOJ Airlines,Tajikistan,N
TI,TOL,Tol-Air Services,United States,N
BY,TOM,Thomsonfly,United Kingdom,Y
,TOP,Top Air,Turkey,N
,TOR,Toronto Airways,Canada,N
PM,TOS,Tropic Air,Belize,Y
,TOT,Totavia,Canada,N
FF,TOW,Tower Air,United States,N
,TOY,Toyota Canada,Canada,N
QT,TPA,TAMPA,Colombia,Y
,TPD,Top Speed,Austria,N
,TPF,Taxis Aereos del Pacifico,Mexico,N
,TPG,Transportes Aereos Pegaso,Mexico,N
,TPL,TAR Interpilot,Mauritania,N
,TPM,Transpais Aereo,Mexico,N
,TPN,Transportacion Aerea del Norte,Mexico,N
,TPP,Transpac Express,Australia,N
,TPR,Taxis Aereos De Parral,Mexico,N
,TPS,TAPSA Transportes Aereos Petroleros,Argentina,N
,TPT,Transportes Aereo del Sureste,Mexico,N
,TPU,Trans American Airlines (Trans Am),Peru,N
,TPV,Thai Pacific Airlines Business,Thailand,N
,TPX,Transportes Aereos De Xalapa,Mexico,N
,TPY,Trans-Provincial Airlines,Canada,N
,TPZ,Transportes La Paz,Mexico,N
,TQN,Taquan Air Services,United States,N
,TQR,Transportacion Aerea De Queretaro,Mexico,N
GE,TNA,TransAsia Airways,Taiwan,Y
HV,TRA,Transavia Holland,Netherlands,Y
,TRC,Trans Air Charter,United States,N
VR,TCV,TACV,Portugal,Y
,TRD,Trans Island Air,Barbados,N
,TRF,Taxi Air Fret,France,N
,TRG,TRAGSA (Medios Aereos),Spain,N
,TRJ,Trans Euro Air,United Kingdom,N
,TRM,Transport Aerien de Mauritanie,Mauritania,N
,TRO,Tropic Airlines-Air Molokai,United States,N
,TRQ,Turdus Airways,Netherland,N
,TRR,Tramson Limited,Sudan,N
,TRT,Trans Arabian Air Transport,Sudan,N
,TRU,Triangle Airline (Uganda),Uganda,N
,TRW,Transwestern Airlines of Utah,United States,N
,TRY,Tristar Airlines,United States,N
T9,TRZ,TransMeridian Airlines,United States,N
,TSA,Transair France,France,N
,TSD,TAF-Linhas Aereas,Brazil,N
TH,TSE,Transmile Air Services,Malaysia,N
,TSG,Trans-Air-Congo,Republic of the Congo,N
,TSI,Transport'air,France,N
S5,TSJ,Trast Aero,Kyrgyzstan,N
,TSK,Trast Aero,Kyrgyzstan,N
,TSL,Thai Aviation Services,Thailand,N
,SBT,Taftan Airlines,Iran,N
9T,ABS,Transwest Air,Canada,Y
,TSM,Trans Sayegh Airport Services,Lebanon,N
,TSN,Trans-Air Services,Nigeria,N
UN,TSO,Transaero Airlines,Russia,Y
,TSP,Transportes Aereos Inter,Guatemala,N
,TSR,Trans Service Airlift,Democratic Republic of Congo,N
,TSS,Tri-State Aero,United States,N
,TST,TRAST,Kazakhstan,N
,TSV,Tropair Airservices,United Kingdom,N
,TSW,Transwings,Switzerland,N
T9,TSX,Thai Star Airlines,Thailand,N
,TSY,Tristar Air,Egypt,N
,TTA,TTA - Sociedade de Transporte e Trabalho Aereo,Mozambique,N
,TTC,Transteco,Angola,N
,TTH,Tarhan Tower Airlines,Turkey,N
,TTL,Total Linhas Aereas,Brazil,N
,TTP,Triple O Aviation,Nigeria,N
,TTR,Transportaciones Y Servicios Aereos,Mexico,N
,TTS,Transporte Aereo Tecnico Ejecutivo,Mexico,N
T5,TUA,Turkmenistan Airlines,Turkmenistan,Y
,TUC,Turismo Aereo de Chile,Chile,N
UG,TUI,Tuninter,Tunisia,Y
,TUL,Tulpar Air,Russia,N
,TUM,Tyumenspecavia,Russia,N
,TUO,Taxi Aereo Turistico,Mexico,N
,TUX,Tulpar Air Service,Kazakhstan,N
,TUZ,Tuna Aero,Sweden,N
,TVA,Trans America Airlines,United States,N
,TVH,Trabajos Aereos Vascongados,Spain,N
,TVI,Tiramavia,Moldova,N
,TVL,Travel Service,Hungary,N
,TVO,Transavio,Italy,N
T6,TVR,Tavrey Airlines,Ukraine,N
QS,TVS,Travel Service,Czech Republic,Y
TW,TWA,Trans World Airlines,United States,N
,TWE,Transwede Airways,Sweden,N
,TWJ,Twinjet Aircraft Sales,United Kingdom,N
,TWL,Tradewinds Aviation,Canada,N
,TWM,Transairways,Mozambique,N
,TWO,Twente Airlines,Netherlands,N
,TWW,Trans Air Welwitchia,Angola,N
,TXA,Texair Charter,United States,N
AL,TXC,Transaviaexport,Belarus,N
,TXE,Transilvania Express,Romania,N
,TXL,Taxi Aereo Cozatl,Mexico,N
,TXM,Taxi Aereo de Mexico,Mexico,N
,TXN,Texas National Airlines,United States,N
,TXO,Taxis Aereos de Sinaloa,Mexico,N
,TXR,Taxirey,Mexico,N
,TXS,Texas Airlines,United States,N
,TXT,Texas Air Charters,United States,N
,TXZ,Tex Star Air Freight,United States,N
,TYF,Tayflite,United Kingdom,N
,TYG,Trygg-Flyg,Sweden,N
,TYW,Tyrol Air Ambulance,Austria,N
,TZE,Transporte Aereo Ernesto Saenz,Mexico,N
,TZK,Tajikstan,Tajikistan,N
,BLI,Thyssen Krupp AG,Germany,N
6B,BLX,TUIfly Nordic,Sweden,Y
,BOL,Transportes Aereos Bolivianos,Bolivia,N
,BOX,Tiphook PLC,United Kingdom,N
,CHE,Top Flight Air Service,United States,N
,CLR,Trans America,United States,N
,CLU,Triple Alpha,Germany,N
,CTP,Tashkent Aircraft Production Corporation,Uzbekistan,N
,CWT,Texas Airways,United States,N
,DCL,Transportes Aereos Don Carlos,Chile,N
,DOT,Telnic Limited,United Kingdom,N
,DRC,Triton Airlines,Canada,N
DT,DTA,TAAG Angola Airlines,Angola,Y
SF,DTH,Tassili Airlines,Algeria,N
,EAR,Transporte Ejecutivo Aereo,Mexico,N
,ELV,Transportes Aereos Nacionales De Selva Tans,Peru,N
,FBO,TAG Farnborough Airport,United Kingdom,N
,FNV,Transaviaservice,Georgia,N
,FPG,TAG Aviation,Switzerland,N
,GFN,The 955 Preservation Group,United Kingdom,N
,GJB,Trans-Air-Link,United States,N
,GPD,Tradewind Aviation,United States,N
,HBA,Trail Lake Flying Service,United States,N
,HET,TAF Helicopters,Spain,N
,HTO,Tango Bravo,France,N
,HVK,Turkish Air Force,Turkey,Y
,IHS,Thryluthjonustan,Iceland,N
,IRF,TA-Air Airline,Iran,N
,IRR,Tara Air Line,Iran,N
,JCH,Trading Air Cargo,Mauritania,N
,KCA,Trans-Kiev,Ukraine,N
,JEL,Tal Air Charters,Canada,N
,KRA,Transcontinental Airlines,Kazakhstan,N
,KTB,Transaviabaltika,Lithuania,N
,KTS,Transair-Gyraintiee,Russia,N
PZ,LAP,TAM Mercosur,Paraguay,Y
,LCC,The Lancair Company,United States,N
,LEG,The Army Aviation Heritage Foundation,United States,N
,LKW,Top Sky International,Indonesia,N
AX,LOF,Trans States Airlines,United States,Y
,LTA,Trans Atlantis,Canada,N
,MCT,Transportacion Aerea Del Mar De Cortes,Mexico,N
,MGM,Transporte Aero MGM,Mexico,N
,MOH,Tigerfly,United Kingdom,N
,MPO,Transportes Aereos Amparo,Mexico,N
,MUI,Trans Air,United States,N
,MXQ,Transportes Aereos Mexiquenses,Mexico,N
1E,,Travelsky Technology,China,N
2H,,Thalys,Belgium,N
,NTR,TNT International Aviation,United Kingdom,N
1L,OSY,Open Skies Consultative Commission,United States,N
,PCW,Trans-Pacific Orient Airways,Philippines,N
,PGS,Tauranga Aer Club,New Zealand,N
,PSS,TSSKB-Progress,Russia,N
,RBD,Trans World Express,United States,N
,REC,Trans Reco,Mauritania,N
,RMS,Tas Aviation,United States,N
RO,ROT,Tarom,Romania,Y
,ROU,Transportes Aereos I.R. Crusoe,Chile,N
,RRT,Transportes Aereos Sierra,Mexico,N
,RRY,Tbilisi Aviation University,Georgia,N
,RTM,Trans Am Compania,Ecuador,N
,SBJ,Trans Sahara Air,Nigeria,N
,SEI,Transportes Aereos Sierra Madre,Mexico,N
,SRT,Trans Asian Airlines,Kazakhstan,N
3T,URN,Turan Air,Azerbaijan,Y
8R,TIB,TRIP Linhas A,Brazil,Y
,USB,Tusheti,Georgia,N
,UTM,TAPC Aviatrans Aircompany,Uzbekistan,N
,UTN,Trans-Ulgii,Mongolia,N
,UTT,Transarabian Transportation Services,Uganda,N
,VEN,Transaven,Venezuela,N
,VIP,Tag Aviation UK,United Kingdom,N
,VNZ,Tbilaviamsheni,Georgia,N
,VRC,Taxi de Veracruz,Mexico,N
,XAR,Travel Express Aviation Services,Indonesia,N
,XNR,Taxi Aero Del Norte,Mexico,N
OF,,Transports et Travaux A,,N
,DOD,USAF Air Mobility Operations Control Center,United States,N
,DOI,U.S. Department of the Interior,United States,N
,EXM,United Kingdom Civil Aviation Authority,United Kingdom,N
,GIH,Union des Transports Africains de Guinee,Guinea,N
,GKA,US Army Parachute Team,United States,N
U5,GWY,USA3000 Airlines,United States,Y
,UAB,United Arabian Airlines,Sudan,N
UA,UAL,United Airlines,United States,Y
,UAC,United Air Charters,Zimbabwe,Y
,UCS,United Carriers Systems,United States,N
,UEA,United Eagle Airlines,China,N
U2,,United Feeder Service,United States,N
,CFU,United Kingdom Civil Aviation Authority,United Kingdom,N
,KRF,United Kingdom Royal VIP Flights,United Kingdom,N
,KRH,United Kingdom Royal VIP Flight,United Kingdom,N
,SDS,United Kingdom Civil Aviation Authority,United Kingdom,N
,TQF,United Kingdom Royal VIP Flights,United Kingdom,N
,CGX,United States Coast Guard Auxiliary,United States,N
,AGR,United States Department Of Agriculture,United States,N
,UAD,University Air Squadron,United Kingdom,N
,UAJ,University Air Squadron,United Kingdom,N
,UAA,University Air Squadron,United Kingdom,N
,UAH,University Air Squadron,United Kingdom,N
,HBU,Universal Avia,Ukraine,N
,HLE,UK HEMS,United Kingdom,N
U7,JUS,USA Jet Airlines,United States,N
,LEA,Unijet,France,N
,MSH,US Marshals Service,United States,N
,NDU,University of North Dakota,United States,N
,PNA,Universal Airlines,United States,N
,RAU,Uganda Royal Airways,Uganda,N
,SAU,United Aviation Services,Spain,N
U6,SVR,Ural Airlines,Russia,Y
,TRB,Ukraine Transavia,Ukraine,N
,UAF,United Arab Emirates Air Force,United Arab Emirates,N
,UAI,Union Africaine des Transports,Ivory Coast,N
,UCC,Uganda Air Cargo,Uganda,N
,UCH,US Airports Air Charter,United States,N
,UCO,Ucoaviacion,Spain,N
,UES,Ues-Avia Aircompany,Ukraine,N
,UFS,UFS,United States,N
,UGA,Uganda Airlines,Uganda,N
,UGC,Urgemer Canarias,Spain,N
,UHL,Ukrainian Helicopters,Ukraine,N
,UHS,Ulyanovsk Higher Civil Aviation School,Russia,N
,UJR,Universal Jet Rental de Mexico,Mexico,N
,UJT,Universal Jet Aviation,United States,N
,UKI,UK International Airlines,United Kingdom,N
,UKL,Ukraine Air Alliance,Ukraine,N
UF,UKM,UM Airlines,Ukraine,Y
,UKN,Ukraine Air Enterprise,Ukraine,N
,UKP,United Kingdom Home Office,United Kingdom,N
6Z,UKS,Ukrainian Cargo Airways,Ukraine,N
,ULT,Ultrair,United States,N
,UMS,Unitemp-M,Russia,N
,UNC,Uni-Fly,Denmark,N
,UNF,Union Flights,United States,N
,UNJ,Universal Jet,Spain,N
,UNS,Unsped Paket Servisi,Turkey,N
,UNU,Unifly Servizi Aerei,Italy,N
,UPL,Ukrainian Pilot School,Ukraine,N
5X,UPS,United Parcel Service,United States,N
,URV,Uraiavia,Russia,N
US,USA,US Airways,United States,Y
,USC,US Check Airlines,United States,N
,USF,USAfrica Airways,United States,N
,USH,US Helicopter,United States,Y
,USJ,US Jet,United States,N
,USX,US Express,United States,N
UT,UTA,UTair Aviation,Russia,Y
,UTG,UTAGE,Equatorial Guinea,N
,UTR,Utair South Africa,South Africa,N
,UTS,Ukrainian State Air Traffic Service Enterprise,Ukraine,N
,UTU,Urartu-Air,Armenia,N
,UVA,Universal Airways,United States,N
,UVG,Universal Airlines,Guyana,N
,UVM,Uvavemex,Mexico,N
,AIO,United States Air Force,United States,Y
,UVN,United Aviation,Kuwait,N
HY,UZB,Uzbekistan Airways,Uzbekistan,Y
PS,AUI,Ukraine International Airlines,Ukraine,Y
,WEC,Universal Airlines,United States,N
UH,,US Helicopter Corporation,United States,Y
VA,VAU,V Australia Airlines,Australia,N
,VBA,V Bird Airlines Netherlands,Netherlands,N
